analysis_label,cell_type,program,mean_usage_in,mean_usage_out,log2_fc_in_vs_out,p_value,fdr,fraction_gt0p01_in,fraction_gt0p01_out,pct_gt0p01_in,pct_gt0p01_out,n_cells_in,n_cells_out
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_34,0.0284577059948313,0.0101636115882342,1.485406130519061,0.0,0.0,0.5300056882821388,0.2356170784416798,53.00056882821388,23.56170784416798,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_41,0.0437665936121266,0.0068847581380908,2.66835204727667,0.0,0.0,0.5780716723549488,0.1130562679537622,57.80716723549488,11.305626795376227,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_57,0.0930195715525239,0.0015540599215796,5.903419344511853,0.0,0.0,0.7906712172923777,0.0382199425479607,79.06712172923777,3.821994254796077,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_63,0.0595051491640622,0.0026754694816059,4.475150021994098,0.0,0.0,0.6626848691695109,0.0596821553541371,66.26848691695109,5.968215535413713,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_65,0.070094007945747,0.0016017526011239,5.451567000763724,0.0,0.0,0.6804607508532423,0.034694235149816,68.04607508532423,3.4694235149816017,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_68,0.0374369153564715,0.0028275792583863,3.726821726841218,0.0,0.0,0.4860637087599544,0.0551528956995927,48.606370875995445,5.515289569959274,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_70,0.0711659601218924,0.000680678826149,6.708067198807437,0.0,0.0,0.5920079635949943,0.0096903855445996,59.20079635949943,0.9690385544599668,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_73,0.0265952563351212,0.0015404196451218,4.109772727643201,0.0,0.0,0.2751706484641638,0.0305950693194428,27.517064846416385,3.0595069319442896,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_74,0.0084496452700116,0.0027186594890626,1.635994950293275,0.0,0.0,0.3358930602957907,0.0671105659716138,33.58930602957907,6.711056597161382,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_78,0.0132471100422471,0.0014117842623622,3.2300851967363693,0.0,0.0,0.4082764505119454,0.0298676266785606,40.82764505119454,2.9867626678560617,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_79,0.0354448590423223,0.0005119834881857,6.113332522253751,0.0,0.0,0.2198521046643913,0.0052142238930393,21.985210466439135,0.5214223893039382,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_81,0.020197248545112,0.0007353225734512,4.77963579392125,0.0,0.0,0.3154152445961319,0.0139913237863123,31.541524459613196,1.3991323786312395,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_86,0.0183413005028506,0.0005582070378547,5.038149307821562,0.0,0.0,0.3090159271899886,0.0097753423493742,30.90159271899886,0.977534234937424,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_89,0.008574742738255,0.0004563315698342,4.2319360239832005,9.368138431185537e-209,6.691527450846812e-208,0.1097838452787258,0.0048850162745379,10.978384527872583,0.4885016274537915,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_38,0.0218390092007401,0.0097333166104479,1.1659039332426333,1.6732454630646518e-208,1.1154969753764346e-207,0.374004550625711,0.1564745049938671,37.400455062571105,15.647450499386718,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_71,0.0027053300466105,0.0028010245856209,-0.0501500166779109,9.046828195706434e-177,5.6542676223165204e-176,0.0932878270762229,0.0328942128486547,9.328782707622295,3.2894212848654765,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_92,0.0031911775635323,0.000679189751636,2.232200618056395,2.964653498454446e-145,1.7439138226202626e-144,0.0770762229806598,0.0085434686801429,7.707622298065984,0.854346868014294,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_80,0.0031089568737563,0.001419708920089,1.1308348848240897,4.655321610882472e-109,2.5862897838235954e-108,0.0998293515358361,0.0232091371043535,9.982935153583618,2.3209137104353506,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_85,0.0044540242354767,0.0011488299974221,1.9549431509505997,1.8831962069203762e-108,9.911558983791452e-108,0.092292377701934,0.0174904821829651,9.229237770193402,1.74904821829651,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_30,0.0180563829387097,0.0121533801157175,0.5711512676732511,2.7404342834028636e-77,1.3702171417014318e-76,0.4074232081911262,0.2787379666650737,40.74232081911263,27.87379666650737,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_98,0.0009134017263792,0.0002231777258579,2.033051584757551,9.203432450758945e-72,4.382586881313782e-71,0.022042093287827,0.0029416293653195,2.204209328782708,0.294162936531957,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_59,0.0076426887909371,0.0046534325813893,0.7157848582470581,1.8118008512310875e-32,8.235458414686763e-32,0.2293799772468714,0.1338282067211452,22.937997724687147,13.38282067211452,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_64,0.0038655612772227,0.0044118415164825,-0.1907030128856143,4.827244327130356e-31,2.0988018813610245e-30,0.1309726962457338,0.0595334809457816,13.09726962457338,5.953348094578162,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_88,0.0009409181508398,0.0012564629613667,-0.4172266228153045,4.867783569574121e-22,2.028243153989217e-21,0.0167804323094425,0.0219400948330333,1.678043230944255,2.194009483303333,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_95,0.0017644245360942,0.0004910814334554,1.845161423639882,1.1152504409163453e-19,4.461001763665381e-19,0.0337030716723549,0.0087611704923777,3.370307167235495,0.8761170492377781,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_91,0.000892450700378,0.0006807490352892,0.3906489403224658,2.0105538502066204e-17,7.732899423871617e-17,0.0166382252559726,0.0100142833628027,1.6638225255972698,1.0014283362802725,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_61,0.0086879075094331,0.0048054877503004,0.854325740316957,5.86274134517804e-13,2.1713856833992744e-12,0.2255403868031854,0.1492425569874317,22.554038680318545,14.924255698743169,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_94,0.0005411694652262,0.0005665893117725,-0.0662228277040773,4.658289278802945e-11,1.663674742429623e-10,0.0042662116040955,0.0070354853953942,0.4266211604095563,0.7035485395394279,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_84,0.0025001896248276,0.0013855857959892,0.8515410090745742,1.993446819081006e-09,6.873954548555193e-09,0.0637087599544937,0.031449947167487,6.370875995449373,3.144994716748703,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_93,0.0006527099753941,0.0004681565779274,0.4794500879108834,1.300211340040341e-08,4.33403780013447e-08,0.0078213879408418,0.0057929921255661,0.7821387940841865,0.5792992125566158,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_20,0.0165906135307496,0.0182889961554024,-0.1406086436824669,2.2185364493438898e-08,7.156569191431903e-08,0.3768486916951081,0.3032267656413442,37.68486916951081,30.322676564134422,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_96,0.0005596209654054,0.000413396949711,0.4369213564327518,0.0009818133962735,0.0030681668633549,0.0099544937428896,0.0051345768885632,0.9954493742889648,0.5134576888563221,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_44,0.0103654704468252,0.0073140214042212,0.5030487841712489,0.0064458881241162,0.0195329943155038,0.2868316268486917,0.1961121642215036,28.683162684869167,19.611216422150363,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_90,0.0007659283566572,0.0005994762514994,0.3535063269626355,0.0481751622620279,0.141691653711847,0.0088168373151308,0.0050708592849822,0.881683731513083,0.5070859284982292,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_1,0.0348980293866264,0.0487952081956106,-0.4835938939338696,1.0,1.0,0.7765927189988624,0.9044342142292028,77.65927189988624,90.4434214229203,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_10,0.0200010138548556,0.0289570475960024,-0.5338413609274604,1.0,1.0,0.5553185437997725,0.6983927234496711,55.531854379977254,69.83927234496711,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_100,0.0002575667926231,0.0001692646324779,0.605663124349926,0.9999999999798248,1.0,0.0031285551763367,0.0011840854665456,0.3128555176336746,0.1184085466545603,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_11,0.0010764736594432,0.0248264289450361,-4.527490552533477,1.0,1.0,0.0308589306029579,0.4395930569051298,3.0858930602957906,43.95930569051298,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_12,0.0113306286478794,0.0249527501521153,-1.1389708533358738,1.0,1.0,0.4483788395904436,0.7066441531134015,44.83788395904437,70.66441531134015,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_13,0.0046758886343022,0.0237571356308034,-2.345048180104428,1.0,1.0,0.1719283276450512,0.5379995858355767,17.19283276450512,53.799958583557675,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_14,0.0104224385777222,0.0230942050735525,-1.1478379420573117,1.0,1.0,0.389362912400455,0.61924484020156,38.936291240045506,61.924484020156,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_15,0.0044683856070359,0.0224506817537447,-2.328933400792141,1.0,1.0,0.1770477815699658,0.4868502795609857,17.704778156996586,48.68502795609857,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_16,0.0027575157027886,0.020281552665043,-2.878726644361625,1.0,1.0,0.102815699658703,0.4864095661362176,10.281569965870307,48.64095661362176,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_17,0.0029567527094681,0.0210240441180473,-2.829954296310687,1.0,1.0,0.1137656427758816,0.4485825488103392,11.376564277588168,44.85825488103393,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_18,0.0028963221831242,0.0190275907872858,-2.7157984814640654,1.0,1.0,0.1120591581342434,0.5533024302955966,11.205915813424346,55.330243029559654,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_19,0.0126432942904294,0.0186970456214072,-0.5644378705964368,1.0,1.0,0.4333048919226394,0.626986529036643,43.33048919226394,62.698652903664296,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_2,0.026970533879254,0.0412260034147729,-0.6121705100028121,1.0,1.0,0.5415244596131968,0.7599810971109376,54.152445961319685,75.99810971109376,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_21,0.0019336507229269,0.0182695950884396,-3.2400448643836377,1.0,1.0,0.0601535836177474,0.3467989868901031,6.015358361774744,34.67989868901031,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_22,0.0018894497797355,0.0174804747478256,-3.2097056077553856,1.0,1.0,0.0695392491467576,0.3221880625069691,6.953924914675767,32.218806250696915,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_23,0.0080660707481647,0.0142148077706834,-0.8174565470563686,1.0,1.0,0.2509954493742889,0.4634022014432037,25.099544937428895,46.34022014432037,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_24,0.007291652119776,0.0162486257828459,-1.1559999611800555,1.0,1.0,0.2534129692832764,0.4633384838396228,25.341296928327644,46.33384838396228,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_25,0.0075123939668547,0.0150369520645148,-1.001167443248591,1.0,1.0,0.2600967007963595,0.4376762189974035,26.00967007963595,43.76762189974035,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_26,0.0017801209676584,0.015210806387811,-3.0950487351224183,1.0,1.0,0.0656996587030716,0.3864791245201268,6.5699658703071675,38.64791245201267,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_27,0.0010077634484482,0.014561154831901,-3.852894505425555,1.0,1.0,0.031712172923777,0.2562722016024977,3.1712172923777016,25.627220160249777,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_28,0.0094661582604726,0.0149462076887457,-0.65892847183515,1.0,1.0,0.3550910125142207,0.3982562615820019,35.509101251422074,39.82562615820019,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_29,0.0038788392259773,0.013888935815889,-1.8402389108065655,1.0,1.0,0.143202502844141,0.3494857458410989,14.320250284414108,34.94857458410989,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_3,0.0240904492063025,0.035742887160244,-0.5691948591420929,1.0,1.0,0.5180602957906713,0.6397512889540224,51.80602957906713,63.97512889540224,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_31,0.0086649244836289,0.0111679554817907,-0.3661059772120039,1.0,1.0,0.2868316268486917,0.3655372721431947,28.683162684869167,36.55372721431947,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_32,0.0108616884349669,0.0122589836800451,-0.1745909779262043,0.5961681848852961,1.0,0.3494027303754266,0.3229526737499402,34.94027303754266,32.295267374994026,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_33,0.0047573548163,0.0107266055837702,-1.1729619066486223,1.0,1.0,0.1360921501706484,0.2644280548608567,13.609215017064846,26.442805486085668,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_35,0.0041903677574883,0.0106574806145762,-1.3467174529615364,1.0,1.0,0.1552901023890785,0.3176375636512311,15.529010238907851,31.763756365123108,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_36,0.0062124830876557,0.0105492838248619,-0.7639030400550976,1.0,1.0,0.174914675767918,0.3100073806224148,17.49146757679181,31.00073806224148,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_37,0.00562940161387,0.0097330765435702,-0.7899142158917316,1.0,1.0,0.1222980659840728,0.1997812362277054,12.22980659840728,19.978123622770543,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_39,0.0043601316459884,0.0098167930950355,-1.1708799294518863,1.0,1.0,0.1423492605233219,0.3122428065480457,14.234926052332195,31.22428065480457,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_4,0.0025582456526217,0.0329947043684737,-3.689007261962832,1.0,1.0,0.0915813424345847,0.5707610536767712,9.158134243458475,57.07610536767712,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_40,0.0052898946031659,0.0097338640238939,-0.8797735185763381,1.0,1.0,0.1669510807736063,0.2732317037556217,16.695108077360636,27.32317037556217,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_42,0.0029996842342766,0.0090222392497617,-1.5886745810759937,0.9998708952583208,1.0,0.1141922639362912,0.1383999447780769,11.419226393629124,13.839994477807693,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_43,0.0033177674297614,0.007318344246088,-1.1413042830008202,1.0,1.0,0.1082195676905574,0.2377994063643266,10.821956769055744,23.779940636432663,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_45,0.0014358904226944,0.0075095493569587,-2.386779865773104,1.0,1.0,0.04806598407281,0.1501611524390567,4.806598407281001,15.016115243905675,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_46,0.0064073394762943,0.0075559952585132,-0.2378963321983891,1.0,1.0,0.2154436860068259,0.2909558171517169,21.544368600682596,29.095581715171697,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_47,0.0012190032623417,0.0068895416414931,-2.498705043129218,1.0,1.0,0.0372582480091012,0.187043025311818,3.7258248009101247,18.704302531181803,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_48,0.001642498853492,0.0073587484580465,-2.1635673744252872,1.0,1.0,0.0533276450511945,0.1296547036865943,5.332764505119454,12.965470368659435,7032,188331
FP_moi15_seq2 cNMF enrichment (cell.type.l2),Large-artery,Program_49,0.0027973705426119,0.0066513412546028,-1.2495736257423555,1.0,1.0,0.0894482366325369,0.160621459026926,8.944823663253697,16.062145902692603,7032,188331
