program_id,category,term,term_id,description,fdr,p_value,number_of_genes,number_of_genes_in_background,ncbiTaxonId,inputGenes
1,Process,GO:0016570,NA,Histone modification,6.53e-12,2.47e-15,32,395,10090,Kat2b|Kdm7a|Atxn7|Crebbp|Mecp2|Arid4a|Kdm3b|Kdm5b|Kmt2c|Setd5|Kdm2a|Rlf|Atf2|Kdm6a|Ep300|Nsd2|Ncoa1|Nsd1|Kansl1|Mbtd1|Ncoa6|Arid4b|Kmt2e|Jade3|Sirt1|Setd2|Phf8|Kdm3a|Ash1l|Rcor3|Gatad2b|Clock
1,Process,GO:0018205,NA,Peptidyl-lysine modification,2.79e-09,3.52e-12,25,310,10090,Kat2b|Atxn7|Crebbp|Esco1|Mecp2|Arid4a|Kmt2c|Setd5|Rlf|Atf2|Ep300|Nsd2|Ncoa1|Pias1|Kansl1|Mbtd1|Ncoa6|Arid4b|Jade3|Sirt1|Setd2|Senp6|Kdm3a|Ash1l|Clock
1,Process,GO:0016571,NA,Histone methylation,3.79e-07,8.86e-10,14,108,10090,Crebbp|Mecp2|Arid4a|Kmt2c|Setd5|Rlf|Nsd2|Nsd1|Ncoa6|Arid4b|Kmt2e|Setd2|Kdm3a|Ash1l
1,Process,GO:0006479,NA,Protein methylation,2.39e-06,7.99e-09,15,154,10090,Fbxo11|Crebbp|Mecp2|Arid4a|Kmt2c|Setd5|Rlf|Nsd2|Nsd1|Ncoa6|Arid4b|Kmt2e|Setd2|Kdm3a|Ash1l
1,Process,GO:0018105,NA,Peptidyl-serine phosphorylation,2.77e-05,1.21e-07,15,192,10090,Ulk2|Tgfbr1|Rock2|Mapk8|Smg1|Phip|Csnk1g1|Pkd1|Rictor|Rock1|Wnk1|Mast2|Tlk2|Akt3|Camk2d
1,Process,GO:0018394,NA,Peptidyl-lysine acetylation,3.54e-05,1.69e-07,13,143,10090,Kat2b|Atxn7|Crebbp|Esco1|Mecp2|Atf2|Ep300|Ncoa1|Kansl1|Mbtd1|Jade3|Sirt1|Clock
1,Process,GO:0034968,NA,Histone lysine methylation,4.26e-05,2.07e-07,10,76,10090,Arid4a|Kmt2c|Setd5|Rlf|Nsd2|Ncoa6|Arid4b|Setd2|Kdm3a|Ash1l
1,Process,GO:0070076,NA,Histone lysine demethylation,7.44e-05,3.99e-07,7,29,10090,Kdm7a|Kdm3b|Kdm5b|Kdm2a|Kdm6a|Phf8|Kdm3a
1,Process,GO:0043543,NA,Protein acylation,0.00018,1.16e-06,14,201,10090,Kat2b|Atxn7|Crebbp|Esco1|Mecp2|Atf2|Ep300|Nmt2|Ncoa1|Kansl1|Mbtd1|Jade3|Sirt1|Clock
1,KEGG,mmu05161,NA,Hepatitis B,0.00019,5.59e-07,13,160,10090,Braf|Tgfbr1|Apaf1|Mapk8|Rb1|Crebbp|Kras|Pik3cb|Sos2|Atf2|Ep300|Nfatc3|Akt3
1,Process,GO:0043087,NA,Regulation of GTPase activity,0.0002,1.26e-06,19,371,10090,Pafah1b1|Rabgap1l|Sbf2|Rasa2|Tbc1d12|Sos2|Rictor|Rabgap1|Nf1|Ralgapa1|Arfgef1|Wnk1|Rap1gds1|Ralgapb|Rasa1|Afdn|Myo9a|Cpeb2|Arhgap12
